categoria,taglia,genere,marca,nome_prodotto,prezzo_effettivo,prezzo_ordinario,url_prodotto,modello,sport,colori
Scarpe Sportive,35.0,donna,NEW BALANCE,DYNASOFT NITREL V6 GTX - Scarpe da trail running - blue,119.99,119.99,https://www.zalando.it/new-balance-dynasoft-nitrel-v6-gtx-scarpe-da-trail-running-blue-ne241a0er-k12.html?size=35,DYNASOFT NITREL V6 GTX,scarpe da trail running,blue
Scarpe Sportive,35.0,donna,NEW BALANCE,FRESH FOAM X HIERRO V9 - Scarpe da trail running - olivine,159.99,159.99,https://www.zalando.it/new-balance-fresh-foam-x-hierro-v9-scarpe-da-trail-running-olivine-ne241a0he-n12.html?size=35,FRESH FOAM X HIERRO V9,scarpe da trail running,olivine
Scarpe Sportive,35.0,donna,NEW BALANCE,GAROÉ V2 - Sneakers basse - dream state,119.99,119.99,https://www.zalando.it/new-balance-fresh-foam-x-garoe-v2-scarpe-da-trail-running-dream-state-ne241a0hf-k11.html?size=35,GAROÉ V2,sneakers basse,dream state
Scarpe Sportive,35.0,donna,NEW BALANCE,TEKTREL - Scarpe da trail running - sea salt,109.99,109.99,https://www.zalando.it/new-balance-tektrel-scarpe-da-trail-running-sea-salt-ne241a0hm-a11.html?size=35,TEKTREL,scarpe da trail running,sea salt
Scarpe Sportive,35.0,donna,NEW BALANCE,TEKTREL - Scarpe da trail running - phantom,109.99,109.99,https://www.zalando.it/new-balance-tektrel-scarpe-da-trail-running-phantom-ne241a0hm-q11.html?size=35,TEKTREL,scarpe da trail running,phantom
Scarpe Sportive,35.0,donna,NEW BALANCE,FUELCELL REBEL V4 - Scarpe da corsa su strada - twilight haze,159.99,159.99,https://www.zalando.it/new-balance-fuelcell-rebel-v4-scarpe-da-corsa-su-strada-twilight-haze-ne241a0hn-j11.html?size=35,FUELCELL REBEL V4,scarpe da corsa su strada,twilight haze
Scarpe Sportive,35.0,donna,NEW BALANCE,M1000 UNISEX - Sneakers basse - dark ice wine,169.99,169.99,https://www.zalando.it/new-balance-m1000-unisex-sneakers-basse-dark-ice-wine-ne215p02k-q11.html?size=35,M1000 UNISEX,sneakers basse,dark ice wine
Scarpe Sportive,35.0,donna,NEW BALANCE,M1000 UNISEX - Sneakers basse - silver metallic,169.99,169.99,https://www.zalando.it/new-balance-m1000-unisex-sneakers-basse-silver-metallic-ne215p03n-q11.html?size=35,M1000 UNISEX,sneakers basse,silver metallic
Scarpe Sportive,35.0,donna,NEW BALANCE,UNISEX - Sneakers basse - sea stone,169.99,169.99,https://www.zalando.it/new-balance-unisex-sneakers-basse-sea-stone-ne215p01q-q11.html?size=35,UNISEX,sneakers basse,sea stone
Scarpe Sportive,35.0,donna,NEW BALANCE,M1000 UNISEX  - Sneakers basse - reflection,169.99,169.99,https://www.zalando.it/new-balance-m1000-unisex-sneakers-basse-reflection-ne215p03m-a11.html?size=35,M1000 UNISEX,sneakers basse,reflection
Scarpe Sportive,35.0,donna,NEW BALANCE,M1000 UNISEX - Sneakers basse - black,169.99,169.99,https://www.zalando.it/new-balance-m1000-unisex-sneakers-basse-black-ne215p042-q11.html?size=35,M1000 UNISEX,sneakers basse,black
Scarpe Sportive,35.0,donna,NEW BALANCE,M1000 UNISEX - Sneakers basse - ice wine,169.99,169.99,https://www.zalando.it/new-balance-m1000-unisex-sneakers-basse-ice-wine-ne215p04a-i11.html?size=35,M1000 UNISEX,sneakers basse,ice wine
Scarpe Sportive,35.0,donna,NEW BALANCE,M1000 UNISEX - Sneakers basse - woodland,169.99,169.99,https://www.zalando.it/new-balance-m1000-unisex-sneakers-basse-woodland-ne215p032-n11.html?size=35,M1000 UNISEX,sneakers basse,woodland
Scarpe Sportive,35.0,donna,NEW BALANCE,TEKTREL - Scarpe da trail running - grey matter,109.99,109.99,https://www.zalando.it/new-balance-tektrel-scarpe-da-trail-running-grey-matter-ne241a0hm-c12.html?size=35,TEKTREL,scarpe da trail running,grey matter
Scarpe Sportive,35.0,donna,NEW BALANCE,GAROÉ V2 - Sneakers basse - calcium,119.99,119.99,https://www.zalando.it/new-balance-fresh-foam-x-garoe-v2-scarpe-da-trail-running-calcium-ne241a0hf-a11.html?size=35,GAROÉ V2,sneakers basse,calcium
Scarpe Sportive,35.0,donna,NEW BALANCE,FRESH FOAM ARISHI - Scarpe da corsa su strada - sea salt,99.99,99.99,https://www.zalando.it/new-balance-fresh-foam-arishi-v4-scarpe-da-corsa-su-strada-sea-salt-ne241a0hk-c11.html?size=35,FRESH FOAM ARISHI,scarpe da corsa su strada,sea salt
Scarpe Sportive,35.0,donna,NEW BALANCE,FUELCELL REBEL V4 - Scarpe da corsa su strada - hot mango,159.99,159.99,https://www.zalando.it/new-balance-fuelcell-rebel-v4-scarpe-da-corsa-su-strada-hot-mango-ne241a0hn-h11.html?size=35,FUELCELL REBEL V4,scarpe da corsa su strada,hot mango
Scarpe Sportive,35.0,donna,NEW BALANCE,FRESH FOAM X HIERRO V8 GTX - Scarpe da trail running - black,179.99,179.99,https://www.zalando.it/new-balance-fresh-foam-x-hierro-v7-gtx-scarpe-da-trail-running-black-ne241a0g5-q14.html?size=35,FRESH FOAM X HIERRO V8 GTX,scarpe da trail running,black
Scarpe Sportive,35.0,donna,NEW BALANCE,FUELCELL REBEL V4 - Scarpe da corsa su strada - clay ash,159.99,159.99,https://www.zalando.it/new-balance-fuelcell-rebel-v4-scarpe-da-corsa-su-strada-clay-ash-ne241a0hn-a11.html?size=35,FUELCELL REBEL V4,scarpe da corsa su strada,clay ash
Scarpe Sportive,35.0,donna,NEW BALANCE,FRESH FOAM X HIERRO V8 - Scarpe da trail running - gulf red tea tree,160.0,160.0,https://www.zalando.it/new-balance-freshhierro-scarpe-da-trail-running-gulf-red-tea-tree-ne241a0eh-g11.html?size=35,FRESH FOAM X HIERRO V8,scarpe da trail running,gulf red tea tree
Scarpe Sportive,35.0,donna,NEW BALANCE,FUELCELL PROPEL V5 - Sneakers basse - black black,129.99,129.99,https://www.zalando.it/new-balance-fuelcell-propel-v5-scarpe-running-neutre-black-black-ne241a0ew-q14.html?size=35,FUELCELL PROPEL V5,sneakers basse,black black
Scarpe Sportive,35.0,donna,NEW BALANCE,DYNASOFT NITREL V6 GTX - Scarpe da trail running - angora,99.99,99.99,https://www.zalando.it/new-balance-dynasoft-nitrel-v6-scarpe-da-trail-running-angora-ne241a0hj-b11.html?size=35,DYNASOFT NITREL V6 GTX,scarpe da trail running,angora
Scarpe Sportive,35.0,donna,NEW BALANCE,FRESH FOAM X 1080 V14 - Sneakers basse - blue,189.99,189.99,https://www.zalando.it/new-balance-fresh-foam-x-1080-v14-scarpe-running-neutre-blue-ne241a0h7-k11.html?size=35,FRESH FOAM X 1080 V14,sneakers basse,blue
Scarpe Sportive,35.0,donna,NEW BALANCE,DYNASOFT BEAYA SPORT - Scarpe da allenamento - black,79.99,79.99,https://www.zalando.it/new-balance-dynasoft-beaya-sport-scarpe-da-allenamento-black-ne241a0gl-q11.html?size=35,DYNASOFT BEAYA SPORT,scarpe da allenamento,black
Scarpe Sportive,35.0,donna,NEW BALANCE,FRESH FOAM X HIERRO V8 - Scarpe da trail running - licorice,160.0,160.0,https://www.zalando.it/new-balance-fresh-foam-x-hierro-v8-scarpe-da-trail-running-licorice-ne241a0eh-i13.html?size=35,FRESH FOAM X HIERRO V8,scarpe da trail running,licorice
Scarpe Sportive,35.0,donna,NEW BALANCE,FRESH FOAM X HIERRO V8 - Scarpe da trail running - salt/marsh/limelight,160.0,160.0,https://www.zalando.it/new-balance-fresh-foam-x-hierro-v8-scarpe-da-trail-running-saltmarshlimelight-ne241a0eh-m13.html?size=35,FRESH FOAM X HIERRO V8,scarpe da trail running,salt/marsh/limelight
Scarpe Sportive,35.0,donna,NEW BALANCE,FRESH FOAM X MORE V5 - Scarpe da corsa su strada - black,169.99,169.99,https://www.zalando.it/new-balance-fresh-foam-x-more-v5-scarpe-running-neutre-black-ne241a0h1-q11.html?size=35,FRESH FOAM X MORE V5,scarpe da corsa su strada,black
Scarpe Sportive,35.0,donna,NEW BALANCE,FRESH FOAM ARISHI - Scarpe da corsa su strada - dream state,99.99,99.99,https://www.zalando.it/new-balance-fresh-foam-arishi-scarpe-da-corsa-su-strada-dream-state-ne241a0hk-k11.html?size=35,FRESH FOAM ARISHI,scarpe da corsa su strada,dream state
Scarpe Sportive,35.0,donna,NEW BALANCE,FRESH FOAM ARISHI - Scarpe da corsa su strada - silver metallic,99.95,99.95,https://www.zalando.it/new-balance-fresh-foam-arishi-scarpe-da-corsa-su-strada-silver-metallic-ne241a0hk-d11.html?size=35,FRESH FOAM ARISHI,scarpe da corsa su strada,silver metallic
Scarpe Sportive,35.0,donna,NEW BALANCE,FRESH FOAM ARISHI V4 - Scarpe da corsa su strada - quarry blue,84.99,99.99,https://www.zalando.it/new-balance-fresh-foam-arishi-v4-scarpe-running-neutre-quarry-blue-ne241a0fv-k12.html?size=35,FRESH FOAM ARISHI V4,scarpe da corsa su strada,quarry blue
Scarpe Sportive,35.0,donna,NEW BALANCE,FRESH FOAM X HIERRO V8 - Scarpe da trail running - black,160.0,160.0,https://www.zalando.it/new-balance-fresh-foam-x-hierro-v8-scarpe-da-trail-running-black-ne241a0eh-q15.html?size=35,FRESH FOAM X HIERRO V8,scarpe da trail running,black
Scarpe Sportive,35.0,donna,NEW BALANCE,FRESH FOAM X EVOZ V4 - Scarpe da corsa su strada - clementine,129.99,129.99,https://www.zalando.it/new-balance-x-evoz-v4-scarpe-da-corsa-su-strada-clementine-ne241a0hd-h11.html?size=35,FRESH FOAM X EVOZ V4,scarpe da corsa su strada,clementine
Scarpe Sportive,35.0,donna,NEW BALANCE,FUELCELL PROPEL V5 - Sneakers basse - white,129.99,129.99,https://www.zalando.it/new-balance-fuelcell-propel-v5-scarpe-da-corsa-su-strada-white-ne241a0ew-a16.html?size=35,FUELCELL PROPEL V5,sneakers basse,white
